iter	Passed	Remaining
866	1495	229
867	1497	227
868	1498	225
869	1500	224
870	1501	222
871	1503	220
872	1504	218
873	1506	217
874	1507	215
875	1508	213
876	1510	211
877	1512	210
878	1513	208
879	1514	206
880	1516	204
881	1518	203
882	1519	201
883	1521	199
884	1523	197
885	1524	196
886	1526	194
887	1528	192
888	1529	190
889	1531	189
890	1532	187
891	1534	185
892	1536	184
893	1537	182
894	1539	180
895	1541	178
896	1542	177
897	1544	175
898	1545	173
899	1547	171
900	1548	170
901	1550	168
902	1551	166
903	1553	164
904	1554	163
905	1556	161
906	1557	159
907	1559	157
908	1560	156
909	1562	154
910	1563	152
911	1565	151
912	1567	149
913	1568	147
914	1570	145
915	1571	144
916	1573	142
917	1574	140
918	1576	138
919	1577	137
920	1579	135
921	1580	133
922	1582	132
923	1584	130
924	1585	128
925	1586	126
926	1588	125
927	1590	123
928	1591	121
929	1593	119
930	1594	118
931	1596	116
932	1598	114
933	1599	113
934	1601	111
935	1602	109
936	1604	107
937	1605	106
938	1607	104
939	1608	102
940	1610	100
941	1611	99
942	1613	97
943	1614	95
944	1616	94
945	1617	92
946	1619	90
947	1620	88
948	1622	87
949	1623	85
950	1625	83
951	1627	82
952	1628	80
953	1630	78
954	1631	76
955	1633	75
956	1634	73
957	1636	71
958	1638	70
959	1639	68
960	1641	66
961	1643	64
962	1644	63
963	1646	61
964	1647	59
965	1649	58
966	1650	56
967	1652	54
968	1654	52
969	1655	51
970	1657	49
971	1658	47
972	1660	46
973	1661	44
974	1663	42
975	1664	40
976	1666	39
977	1667	37
978	1669	35
979	1670	34
980	1672	32
981	1673	30
982	1675	28
983	1677	27
984	1678	25
985	1680	23
986	1681	22
987	1683	20
988	1684	18
989	1686	17
990	1687	15
991	1689	13
992	1690	11
993	1692	10
994	1693	8
995	1695	6
996	1697	5
997	1698	3
998	1700	1
999	1702	0
